Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,21.89941675,28.20261667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.06448014,0,0,0,0,0,0,0,0,0,0,37.3015873,0,0,0,0,23.87774594,0,28.33061185,0,0,43.40091099,19.2992533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.51023018,0,38.8256441,0,0,0,28.13865013,0,0,0,0,0,0,0,38.92780993,0,0,0,0,0,0,0,34.3385214,0,0,0,0,0,0,0,0,22.51552795,0,0,0,0,33.09352518,6.552795031,0,35.7622739,20,0,0,0,23.00893458,0,0,0,0,0,0,41.85441941,19.90131579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.38064288,0,0,0,0,0,0,0,0,0,32.75862069,0,0,0,0,11.91176471,0,0,0,0,0,0,0,0,0,0,7.143858993,0,0,0,0,0,0,46.33728096,0,0,20.69126576,32.75862069,0,0,0,0,32.69230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38885763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33127727,0,0,0,0,0,0,0,0,0,45.13983166,0,0,0,0,0,0,0,0,0,31.80952381,32.91139241,0,0,0,0,0,25.27075812,7.143858993,0,0,0,0,0,0,0,0,0,0,0,23.67223065,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,22.12361985,29.76190476,0,13.37147701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0269174,0,31.5625,0,0,0,0,0,0,0,0,40.12345679,0,0,0,0,27.72342895,0,26.59126558,0,0,45.80910316,18.34196891,0,0,0,0,0,0,0,0,33.7836863,0,0,0,0,0,0,46.1404408,0,37.88951462,0,0,0,27.32538036,0,0,0,0,0,0,0,37.69518543,0,0,0,0,0,30.66220238,0,32.67162945,0,0,0,0,0,0,0,0,20.49019608,0,0,0,0,33.72921615,5.12244898,0,33.4150613,15.78947368,33.83815644,0,0,19.00872994,0,0,0,0,0,0,45.54074074,19.16426513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.87251445,0,0,0,0,0,0,0,0,0,36.76470588,0,0,0,0,8.59524223,32.54593176,0,0,0,0,0,0,26.14821076,0,0,6.579486759,0,0,0,0,0,23.16757317,44.02778101,0,0,19.1926885,32.13875422,0,0,0,0,32.69230769,0,0,0,0,0,0,0,0,0,0,0,28.54364256,0,0,0,0,0,0,0,0,0,17.57518797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0070922,0,0,0,0,0,0,0,0,0,45.36914277,0,0,0,0,0,0,0,0,0,31.84604905,32.71500843,0,0,0,0,0,34,6.579486759,0,0,0,0,0,0,0,0,0,0,0,21.33811231,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,21.68448543,28.32568202,0,13.73276776,0,0,0,0,0,1.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82591876,0,31.71206226,0,0,0,0,0,0,0,0,32.24489796,0,0,0,0,24.16557592,0,24.60439392,0,0,41.1137705,16.75015027,0,0,0,0,0,0,0,0,32.8505088,0,0,0,0,0,0,43.99881792,0,35.60655738,0,0,0,25.66272431,0,0,0,0,0,0,0,34.98469246,0,0,0,0,0,30.01012135,0,29.13669065,0,0,0,0,0,0,0,0,12.60229133,0,0,44.07226691,0,31.69456067,2.319388971,0,41.83919114,19.23076923,34.00645692,0,0,18.38929532,0,0,0,0,0,0,47.14424951,11.01321586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60047756,0,0,0,0,0,0,0,0,0,40,0,0,0,0,8.006912442,34.48787729,0,0,0,0,0,0,25.17938682,0,0,5.990202435,0,0,0,0,0,21.29082599,42.41682476,0,0,17.33418776,31.62940324,0,0,0,0,35.82089552,0,0,0,0,0,0,0,0,0,0,0,26.99420316,0,0,0,0,0,0,0,0,0,16.11905682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.32912192,0,0,0,0,0,0,0,0,0,45.50433954,0,0,0,0,0,0,0,0,0,27.0096463,31.56424581,0,0,0,0,0,38.72387239,5.990202435,0,0,0,0,0,0,0,0,0,0,0,17.83339851,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,19.06154629,27.26166723,0,14.12113807,0,0,0,0,0,1.550387597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.67157822,0,31.07779579,0,0,0,0,0,0,0,0,31.02310231,0,0,0,0,19.85932356,0,24.53936042,0,0,43.00693411,16.14788835,0,0,0,0,0,0,0,11.18568233,30.16720222,0,0,0,0,0,0,42.51521717,0,34.4887684,0,0,0,24.53762755,0,0,0,0,0,0,0,36.32464349,0,0,0,0,0,28.10867294,0,27.7651638,0,0,0,0,0,0,0,0,12.7826087,0,0,42.67407091,0,30.6038048,2.747725596,0,48.50630288,16.66666667,30.16720222,0,0,21.52484683,0,0,0,0,0,0,48.64690722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.52397749,0,0,0,0,0,0,0,0,0,43.28358209,0,0,0,0,6.594369591,34.3547691,0,0,0,0,0,0,20.06647279,0,0,5.626993108,0,0,0,0,0,20.93135364,43.71736673,0,0,20.16590389,30.14705882,0,0,0,0,35.95505618,0,0,0,0,0,0,0,28.10867294,0,0,0,27.26166723,0,0,0,0,0,0,0,0,0,14.52638271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.40973111,0,0,0,0,0,0,0,0,0,44.20034471,0,0,0,0,0,0,0,0,0,26.0852329,30.14705882,0,0,0,0,0,48.18241904,5.626993108,0,0,0,0,0,0,0,0,0,0,0,19.77287909,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,20.66638325,28.05469784,0,11.772377,0,0,0,0,0,2.249598286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07141874,0,36.79949559,0,0,0,0,0,0,0,0,30.95890411,0,0,0,0,18.29733164,0,23.90563478,0,0,44.61945413,21.96110211,0,0,0,0,0,0,0,11.75742574,29.82731554,0,0,0,0,0,0,40.04106214,0,34.00764575,0,0,0,24.84821024,0,0,0,0,0,0,0,37.24794389,0,0,0,0,0,28.05469784,0,26.92110656,0,0,0,0,0,0,0,0,14.01617251,0,0,42.35677958,0,31.12338858,2.695574194,0,50.20327869,20.96774194,29.46204226,0,0,23.55876165,0,0,0,0,0,0,44.94382022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32754653,0,0,0,0,0,0,0,0,0,38.82352941,0,0,0,0,6.524919536,53.7920937,0,0,0,0,0,0,15.28867051,0,0,5.41053173,0,0,20.84631786,0,0,21.37417357,44.34765513,0,0,18.7514613,29.46204226,0,0,0,0,41.22807018,0,0,0,0,0,0,0,29.82731554,0,0,0,27.9296875,0,0,0,0,0,0,0,0,0,14.69180132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9296875,0,0,0,0,0,0,0,0,0,46.93766938,0,0,0,0,0,0,0,0,0,28.43229069,30.89770355,0,0,0,0,0,43.66045845,5.41053173,0,0,0,0,0,0,0,0,0,0,0,22.13225371,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,19.39980989,27.24482569,0,14.37735465,0,9.612362493,0,0,0,2.273618189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1340735,0,37.07057108,0,0,0,0,0,0,0,0,32.80182232,0,0,0,0,16.65104948,0,23.02973244,0,0,48.80756355,23.64069715,0,0,0,0,0,0,0,10.81490457,30.3030303,0,0,0,0,0,0,43.92787697,0,32.04577969,0,0,0,25.20589467,0,0,0,0,0,0,0,37.84469097,0,0,0,0,0,27.57069728,0,27.15453974,0,0,0,0,0,0,0,0,13.23610347,0,0,40.29592455,0,31.19503363,2.904829222,0,49.51292619,22.22222222,28.89377647,0,0,22.51077586,0,0,0,0,0,0,44.57794418,1.237872198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.99728836,0,0,0,0,0,0,0,0,0,38.17427386,0,0,0,0,6.472831268,52.48275862,0,0,0,0,0,0,17.82304807,0,0,4.678031833,0,0,19.18233982,0,0,22.53214044,46.33132489,0,0,17.94174757,27.89656887,0,0,0,0,41.50943396,0,0,0,0,0,0,0,30.3030303,0,0,0,27.24482569,0,0,0,0,0,0,0,0,0,15.36090419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.89656887,0,0,0,0,0,0,0,0,0,47.62169414,0,0,0,0,0,0,0,0,0,30.43133524,27.12680578,0,0,0,0,0,42.68292683,4.678031833,0,0,0,0,0,0,0,0,0,0,0,22.21344914,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,19.41106017,25.91289956,0,16.72743847,0,10.44042724,0,0,0,1.387367652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.52155843,0,36.20971403,0,0,0,0,0,0,0,0,29.91304348,0,0,0,0,23.2459624,0,23.65209989,0,0,49.32493165,23.93992933,0,0,0,0,0,0,0,12.25516146,30.63477461,0,0,0,0,0,0,48.74474944,0,32.84165406,0,0,0,25.64135198,0,0,0,0,0,0,0,37.80019488,0,0,0,0,0,25.87213104,0,26.0065498,0,0,0,0,0,0,0,0,13.70488808,0,0,42.67919914,0,35.10638298,4.00115141,0,46.36490738,24.30555556,25.35716624,0,0,25.83136252,0,0,0,0,0,0,42.88932419,0.689655172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7006787,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,4.997210489,45.0909818,0,0,0,0,0,0,21.3110769,0,0,4.357010827,0,0,20.81298877,0,0,22.77503305,44.50827206,0,0,19.31657224,25.91289956,0,0,0,0,46.3878327,0,0,0,0,0,0,0,30.63477461,0,0,0,25.83136252,0,0,0,0,0,0,0,0,0,15.8283671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.19495635,0,0,0,0,0,0,0,0,0,45.95042889,0,0,0,0,0,0,0,0,0,27.90136011,21.89430336,0,0,0,0,0,42.24250326,4.357010827,0,0,0,0,0,0,0,0,0,0,0,25.69227334,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,22.25170584,26.0668429,0,24.35249779,0,8.503631524,0,0,0,1.873151495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18622902,0,33.51424157,0,0,0,0,0,0,0,0,28.48101266,0,0,0,0,27.48572265,0,24.15391134,0,0,50.19903676,25.15370952,0,0,0,0,0,0,0,15.95232638,30.34482759,0,0,0,0,0,0,50.86048746,0,33.07504511,0,0,0,26.20713242,0,0,0,0,0,0,0,36.81784143,0,0,0,0,0,26.13698766,0,25.82330589,0,0,0,0,0,0,0,0,9.304964539,0,0,42.6070305,0,32.03812317,2.819432744,0,44.96230295,21.63934426,25.69694791,0,0,24.72026095,0,0,0,0,0,0,43.83370536,0.63134779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.20265552,0,0,0,0,0,0,0,5.020920502,0,35.99088838,0,0,0,0,0,41.97571927,0,0,0,0,0,0,22.59520451,0,0,3.794359625,0,0,20.26921171,0,0,22.35012611,42.18056931,0,0,18.56954419,26.20713242,0,0,0,0,41.37931034,0,0,0,0,0,0,0,30.34482759,0,0,0,26.0668429,0,0,0,0,0,0,0,0,0,16.8405975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.18550759,0,0,0,0,0,0,0,0,0,46.40560315,0,0,0,0,0,0,0,0,0,25.58164017,20.57580028,0,0,0,0,0,41.55511486,3.794359625,0,0,0,0,0,0,0,0,0,0,0,26.5328874,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,23.3736911,25.47985475,0,24.66684797,0,0,0,0,0,1.36863361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33716963,0,34.61098877,0,0,0,0,0,0,0,0,31.0298103,0,0,0,0,22.80711859,0,23.1130635,0,0,47.69912224,22.06364309,0,0,0,0,0,0,0,0,30.05633803,0,0,0,0,0,0,50.16637048,0,31.48625812,0,0,0,28.46544939,0,0,0,0,0,0,0,33.33587452,0,0,0,0,0,27.41030159,0,24.44533547,0,0,0,0,0,0,0,0,8.639246589,0,0,41.39512135,0,30.05633803,4.027972028,0,48.58882802,20.51649928,26.35515379,0,0,21.46703277,0,0,0,0,0,0,45.94835263,0.31810295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.62587618,0,0,0,0,0,0,0,5.438596491,0,50.37147103,0,0,0,0,5.934050482,39.64470088,0,0,0,0,0,0,20.62117284,0,0,4.41122591,0,0,20.93762108,0,0,21.79789871,39.33556174,0,0,18.47287511,28.46544939,0,0,0,0,37.19332679,0,0,0,0,0,0,0,34.57249071,0,0,0,26.35515379,0,0,0,0,0,0,0,0,0,15.78947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.64390897,0,0,0,0,0,0,0,0,0,46.26206327,0,0,0,0,0,0,0,0,0,23.48518355,20.93515286,0,0,0,0,0,43.33885586,4.41122591,0,0,0,0,0,0,0,0,0,0,0,25.06598139,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,23.03442532,25.36997333,0,27.28628231,0,0,0,0,0,1.509504286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73375149,0,39.488126,0,0,0,0,0,0,0,0,26.20215898,0,0,0,0,19.8750123,0,22.75817775,0,0,47.14187328,26.08474749,0,0,0,0,0,0,0,9.071329026,29.274904,0,0,0,0,30.33370782,0,49.1375448,0,30.51953095,0,0,0,27.86251691,0,0,0,0,0,0,0,34.54003762,0,0,0,0,0,27.86251691,0,26.60550459,0,0,0,38.31573896,0,0,0,0,7.839860496,0,0,39.43360668,0,29.274904,3.833550065,0,49.30321743,20.75949367,25.7137351,0,0,20.63150568,0,0,0,0,0,0,44.75041012,0.59955822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.19834195,0,0,0,0,0,0,0,6.766917293,0,53.20366133,0,0,0,0,6.040643144,37.57431629,0,0,0,0,0,0,20.66570188,0,0,6.358336329,0,0,0,0,0,20.56808688,37.95467273,0,0,19.09305427,28.56871046,0,0,0,0,41.30006566,0,0,0,0,0,0,0,32.86106999,0,0,0,26.78812601,0,0,0,0,0,0,0,0,0,13.82583045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.14788469,0,0,0,0,0,0,0,0,0,45.21571196,0,0,0,0,0,0,0,0,0,25.16312908,20.87287842,0,0,0,0,0,43.90478811,6.358336329,0,0,0,0,0,0,0,0,0,0,0,27.31071473,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,22.03640881,25.4697286,0,0,0,0,0,0,0,1.96679899,0,0,0,0,0,0,0,0,0,10.79180064,0,0,0,0,20.60773756,0,42.73961444,0,0,0,0,0,0,0,0,25.71931885,0,0,0,0,19.70339823,0,21.39541661,0,0,46.02092571,33.37405326,0,0,0,0,0,0,0,9.510750329,30.10522561,0,0,0,0,30.3868374,0,49.72430934,0,30.6684492,0,0,0,28.57860979,0,0,0,0,0,0,0,34.1104393,0,0,0,0,0,28.57860979,0,0,0,0,0,40.8707545,0,0,0,0,10.36285603,0,0,37.35393059,0,30.10522561,4.525071341,0,48.87338208,26.11431568,24.44104135,0,0,20.24383587,0,0,0,0,0,0,44.55696203,0.842696629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.16649067,0,0,0,0,0,0,0,11.43847487,0,57.30411687,0,0,0,0,5.552669852,36.25478336,0,0,0,0,0,0,20.84589505,0,0,5.478995164,0,0,0,0,0,19.84732824,37.752889,0,0,19.68047126,29.08518396,0,0,0,0,47.08249497,0,0,0,0,0,0,0,33.76821416,0,0,0,27.0241692,0,0,0,0,0,0,0,0,0,14.21471173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.08518396,0,0,0,0,0,0,0,0,0,47.62723919,0,0,0,0,0,0,0,0,0,22.76677933,0,0,0,0,0,0,43.18530421,5.478995164,0,0,0,0,0,0,0,0,0,0,0,29.03797073,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,23.64841298,26.23790825,0,0,0,0,0,0,0,2.50764526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.37034484,0,39.34598173,0,0,0,0,0,0,0,0,31.3055852,0,0,0,0,20.15866417,0,21.99088608,0,0,44.78126041,31.51171043,0,0,0,0,0,0,0,12.72167258,30.08489776,0,0,0,0,30.98014072,0,50.03701813,0,30.08489776,0,0,0,29.53116041,0,0,0,0,0,0,0,32.76013851,0,0,0,0,0,27.88453433,0,0,0,0,0,38.72033024,0,0,0,0,10.33460125,0,0,41.64247038,0,31.87538367,4.956910949,0,48.00082322,22.45781828,25.00054171,0,0,21.19483284,0,0,0,0,0,0,45.7698371,0.603136309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28648954,0,0,0,0,0,0,0,13.15136476,0,73.32657201,0,0,0,0,5.920486199,38.67959717,0,0,0,0,0,0,20.13467788,0,0,5.384803772,0,0,0,0,0,19.93832993,37.1594979,0,0,21.02296986,29.56039265,0,0,0,0,51.71214553,0,0,0,0,0,0,0,33.45368526,0,0,0,27.88453433,0,0,0,0,0,0,0,0,0,13.38820302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.58962489,0,0,0,0,0,0,0,0,0,50.19088148,0,0,0,0,0,0,0,0,0,23.351678,23.3136557,0,0,0,0,0,39.2390843,5.384803772,0,0,0,0,0,0,0,0,0,0,0,30.25650455,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,25.30225725,27.11337725,0,0,0,0,0,0,0,2.848948375,0,0,0,0,0,0,0,0,0,12.40940877,0,0,0,0,21.17734659,0,40.28413372,0,0,0,0,0,0,0,0,31.33589885,0,0,0,0,20.17612695,0,23.34724858,0,0,43.03344573,33.96435644,0,0,0,0,0,0,0,12.48431094,29.41368788,0,0,0,0,31.25199957,0,48.77705774,0,29.41368788,0,0,0,30.51432716,0,0,0,0,0,0,0,37.14692982,0,0,0,0,0,28.39430435,0,0,0,0,0,32.58594918,0,0,0,0,9.351634266,0,0,39.16425349,0,31.95603784,6.045904711,0,49.0867464,21.28328211,26.01272074,0,0,20.29060434,0,0,0,0,0,0,45.04835745,1.05553006,0,0,0,0,0,0,0,0,0,0,0,0,0,7.609231309,0,0,25.51373221,0,0,0,0,0,0,0,10.64220183,0,72.3417994,0,0,0,0,5.967375594,38.49932457,0,0,0,0,0,0,22.54863282,0,0,5.15786836,0,0,0,0,0,20.67932551,37.30722418,0,0,20.51581793,29.41368788,0,0,0,0,47.28909357,0,0,0,31.25199957,0,0,0,33.98375699,0,0,0,27.7538408,0,0,0,0,0,0,0,0,0,13.96384595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.39430435,0,0,0,0,0,0,0,0,0,46.20031635,0,0,0,0,0,0,0,0,0,21.54270455,23.45587964,0,0,0,0,0,43.40689107,5.15786836,0,0,0,0,0,0,0,0,0,0,0,33.70854423,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,24.53676284,26.91968411,0,0,0,0,0,0,0,3.250831178,0,0,0,0,0,60.12903226,0,0,0,9.25178516,0,0,0,0,0,0,39.96514278,0,0,0,0,0,0,0,0,30.28529627,0,0,0,0,20.42015082,0,22.31545138,0,0,41.95904978,34.41993131,0,0,0,0,0,0,0,12.07248018,29.78175205,0,0,0,0,30.05110343,0,47.68231709,0,29.78175205,0,0,0,31.03106313,0,0,0,0,0,0,0,37.09038661,0,0,0,0,0,29.08986236,0,0,0,0,0,31.81733804,0,0,0,0,16.07608001,0,0,37.42976556,0,30.93965854,8.755946958,0,51.35778988,21.49229792,25.27083072,0,0,20.32932866,0,0,0,0,0,0,43.23773475,0.764364787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68848404,0,0,0,0,0,0,0,16.68765743,0,71.74807903,0,0,0,0,5.889819751,37.0916626,0,0,0,0,0,0,21.93220519,0,0,4.506917683,0,0,0,0,0,20.70802149,38.80993166,0,0,17.63661121,29.91642774,0,0,0,0,55.35529092,0,0,0,28.39797268,0,0,0,32.89462291,0,0,0,29.78175205,0,0,0,0,0,0,0,0,0,13.78157504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.05110343,0,0,0,0,0,0,0,0,0,45.6169269,0,0,0,0,0,0,0,0,0,21.5379337,27.32289182,0,0,0,0,0,44.7161556,4.506917683,0,0,0,0,0,0,0,0,0,0,0,32.81518819,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,23.96558479,26.73434516,0,0,0,0,0,0,0,3.80600261,0,0,0,0,0,35.69877615,0,0,0,9.508020432,0,0,0,0,0,0,43.62648059,0,0,0,0,0,0,0,0,28.33577713,0,0,0,0,19.05722326,0,21.85745816,0,0,43.40766782,34.73589607,0,0,0,0,0,0,0,11.18049165,29.57304013,0,0,0,0,29.61437047,0,45.54379398,0,29.57304013,0,0,0,32.04559893,0,0,0,0,0,0,0,40.3493899,0,0,0,0,0,29.48702768,0,0,0,0,0,29.61437047,0,0,0,0,23.28831364,0,0,36.00980766,0,37.75433308,12.36862978,0,50.78663819,23.44367402,24.03786338,0,0,19.36622254,0,0,0,0,0,0,42.78989886,0.42158516,0,0,0,0,0,0,0,0,0,0,0,0,0,20.25738251,0,0,25.43712662,0,0,0,0,0,0,0,11.04319478,0,64.44977717,0,0,0,0,6.770641235,36.60827621,0,0,0,0,0,0,21.16800037,0,0,3.94741638,0,0,0,0,0,21.42091632,39.42050714,0,0,19.40818103,30.18354641,0,0,0,0,46.99165763,0,0,0,29.40101523,0,0,0,40.26736632,0,0,0,29.57304013,0,0,0,0,0,0,0,0,0,13.87955048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.75272236,0,0,0,0,0,0,0,0,0,47.99379071,0,0,0,0,0,0,0,0,0,23.55363307,30.98400844,0,0,0,0,0,43.61115538,3.94741638,0,0,0,0,0,0,0,0,0,0,0,31.82588435,0,0
